School,School County,LC sits 2021,2021 100% sits,2020 100% sits,DCU,Maynooth University,NUIG,Trinity,UCC,UCD,University of Limerick,RCSI,TU Dublin,MTU,TUS,Dundalk  IT,Galway-Mayo  IT,Dun Laoghaire  IADT,IT  Carlow,IT  Sligo,Letterkenny  IT,Waterford  IT,Marino Institute of Education,Mary Immaculate College,National College of Art & Design,"St Angela's College, Sligo",National College of Ireland,"St Patrick's, Carlow",DBS,Griffith College,"Queen's University, Belfast",University of Ulster
"St Joseph's Secondary School, Castlebar",Co. Mayo,121,94%,96%,5,2,35,6,2,6,16,1,1,0,8,0,16,0,0,3,3,1,1,6,1,1,0,0,0,0,0,0
"St. Mary's Secondary School, Ballina",Co. Mayo,65,92%,90%,9,4,10,3,0,5,6,0,2,0,4,0,4,1,0,4,2,0,0,1,1,3,0,0,0,0,1,0
"Jesus And Mary Secondary School, Crossmolina",Co. Mayo,86,92%,74%,3,3,22,5,0,2,9,2,1,0,5,0,7,0,0,10,2,0,0,3,0,0,0,0,1,0,2,2
"St Louis Community School, Kiltimagh",Co. Mayo,87,89%,100%,8,1,22,2,1,2,8,0,0,0,3,0,12,0,0,9,2,0,0,2,0,3,0,0,1,0,0,1
"Mount St Michael Secondary School, Claremorris",Co. Mayo,71,86%,96%,2,2,12,1,3,6,5,0,1,1,3,0,14,0,1,3,1,1,0,5,0,0,0,0,0,0,0,0
"St Joseph's Secondary School, Foxford",Co. Mayo,81,85%,88%,3,1,16,2,0,2,6,0,0,1,7,0,16,0,1,6,3,0,1,4,0,0,0,0,0,0,0,0
"St Joseph's Community College, Charlestown",Co. Mayo,13,85%,81%,0,0,1,1,0,0,1,0,2,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0
Ballinrobe Community School,Co. Mayo,124,79%,90%,1,2,28,2,2,4,7,1,1,0,5,0,30,0,0,5,0,0,0,7,1,1,0,0,0,0,1,0
"Balla Secondary School, Castlebar",Co. Mayo,57,79%,100%,2,0,8,1,0,2,11,0,0,0,3,0,14,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0
"Sacred Heart School, Westport",Co. Mayo,77,78%,89%,5,2,11,10,2,4,8,0,3,2,2,0,7,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
